canonicalPrintingId,language,region,canonicalSetId,releaseYear,providers,cardType,promoStatus,gapReason,permissionState,credentialsRequired,identityState
pokemon|en|GLOBAL|set:fbc67adb6836094d|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:fbc67adb6836094d|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2016xy,2016,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:8fa8c42b79c6a440|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2017sm,2017,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
